2025-12-24 08:50:27.214 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;01010131

2025-12-24 08:50:27.918 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000008321B180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB0000000000000000000000000601010400002B

2025-12-24 08:50:28.945 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000108321C180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB00000000000000000000000006010104000034

2025-12-24 08:50:29.951 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000208321D180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB00000000000000000000000006010104000090

2025-12-24 08:50:30.756 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000308321E180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB00000000000000000000000006010104000097

2025-12-24 08:50:31.870 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000408321F180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB0000000000000000000000000601010400001F

2025-12-24 08:50:32.576 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000005083220180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000D8

2025-12-24 08:50:34.183 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000006083221180C190000000400000000000000CB00E30108000000000000000001920190018A0000000000DB00DB00000000000000000000000006010104000021

2025-12-24 08:50:35.189 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000007083222180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000E2

2025-12-24 08:50:35.993 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000008083223180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB0000000000000000000000000601010400001F

2025-12-24 08:50:36.998 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000009083224180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000CA

2025-12-24 08:50:38.002 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000A083225180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000F7

2025-12-24 08:50:38.807 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000B083226180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000F0

2025-12-24 08:50:39.813 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000C083227180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB0000000000000000000000000601010400006B

2025-12-24 08:50:40.820 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000D083228180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB00000000000000000000000006010104000030

2025-12-24 08:50:41.522 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000E083229180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000E9

2025-12-24 08:50:43.132 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000000F08322A180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000046

2025-12-24 08:50:44.137 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001008322B180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000C9

